OBJECT_ID,SEMIMAJOR_AXIS,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION,PERIOD,VELOCITY_PERIGEE,VELOCITY_APOGEE,RCS_SIZE,OBJECT_TYPE
1986-010G,23640.961,0.7096681,30.457,254.7124,173.0039,208.8158,2.3883891,36175.01017736181,9.964255591748524,1.6921069405447602,SMALL,DEBRIS
1989-039DD,10676.114,0.3559953,68.0298,212.1792,16.409,352.7059,7.87014948,10978.190467609771,8.8663910782714,4.2109272255182955,SMALL,DEBRIS
1989-039DH,11479.904,0.3307094,67.2305,117.2843,113.2744,284.7364,7.05822276,12241.041822828502,8.308717490523465,4.178933818655632,SMALL,DEBRIS
2006-041A,7056.48,0.0018292,98.1329,317.778,222.7708,137.2072,14.64605306,5899.200258666822,7.529554070744919,7.502058245496052,LARGE,PAYLOAD
2006-042A,26559.996,0.0102515,54.7464,218.3838,17.2353,163.7432,2.00567593,43077.74686212642,3.9138774190216483,3.834445486753098,LARGE,PAYLOAD
2006-043A,42164.797,0.0003014,0.0169,234.7838,348.7764,101.6127,1.00271553,86166.01360507503,3.075564060709868,3.073710669306242,LARGE,PAYLOAD
2006-043B,42165.191,0.0003162,0.0195,259.1516,318.4451,47.8799,1.00270147,86167.22183522877,3.0755951924165217,3.0736508008334558,LARGE,PAYLOAD
2006-043E,18771.652,0.6490714,7.1094,29.7362,1.0327,359.8557,3.3755848,25595.564952182507,9.989137492141204,2.125726051233818,LARGE,ROCKET BODY
2006-044A,7198.367,6.72e-05,98.4579,338.885,115.6021,334.0153,14.21515959,6078.018291175583,7.441852109060505,7.440851991344958,LARGE,PAYLOAD
2006-046A,6959.513,0.0005231,97.7953,322.9488,144.0779,216.0803,14.95321122,5778.023110142358,7.571930580444054,7.564012968373666,LARGE,PAYLOAD
2006-046B,6964.68,8.33e-05,97.8158,322.8156,219.8147,140.3019,14.93657377,5784.4590955345975,7.565793052295929,7.5645326961610815,LARGE,PAYLOAD
2006-046C,6941.316,0.0045944,97.7645,330.5549,278.9432,80.6593,15.01205076,5755.376222828599,7.612780406692167,7.5431480091782905,LARGE,ROCKET BODY
2006-046E,6963.305,0.0045509,97.8937,341.6803,125.3796,235.1689,14.94100028,5782.745357126785,7.600421228705543,7.531557108490798,SMALL,DEBRIS
2006-048A,44372.531,0.0035251,10.1908,71.9898,243.4719,312.1992,0.92881978,93021.27480532338,3.0077568232432332,2.9866260242674736,LARGE,PAYLOAD
2006-048B,11679.095,0.4191156,28.3126,172.0391,15.1128,354.3597,6.87842446,12561.016044072396,9.131209762045376,3.737664009824056,LARGE,ROCKET BODY
2004-029D,7862.668,0.1580443,87.7468,83.4497,100.8132,277.4205,12.45225081,6938.504638102451,8.350296361773873,6.071080025595544,SMALL,DEBRIS
2006-049A,42164.994,6.1e-06,0.0276,290.5879,321.8243,128.0135,1.00270852,86166.61599723915,3.0746488508659184,3.074611340378752,LARGE,PAYLOAD
2006-049B,25057.783,0.6938369,0.5356,327.6085,326.6679,162.3066,2.18871292,39475.254708141445,9.381168636035909,1.695657752662919,LARGE,ROCKET BODY
2006-050A,7223.681,0.0009731,98.7797,319.3867,184.9591,175.1487,14.1405058,6110.1067544557,7.435535327854638,7.421078357077831,LARGE,PAYLOAD
2006-050C,7199.876,0.0006728,98.6801,330.2138,55.0137,65.8883,14.21069374,6079.928368085427,7.445581400387327,7.435569362154289,SMALL,DEBRIS
2006-050D,7197.289,0.0005072,98.6626,330.7296,51.6333,124.1913,14.21835475,6076.652434065903,7.445685491286765,7.438136416814977,SMALL,DEBRIS
2006-051A,42165.279,0.0005912,0.0541,322.0078,297.6779,92.6254,1.00269835,86167.48995348402,3.076437945548015,3.0728025145879827,LARGE,PAYLOAD
2006-051B,25802.967,0.6336276,14.4249,332.7549,350.833,1.7353,2.09458642,41249.19324169016,8.299448085934127,1.8613108115454786,LARGE,ROCKET BODY
2006-051C,17842.854,0.598571,51.2942,229.7405,315.9804,289.7217,3.64255621,23719.60651226299,9.43188079545854,2.36850942237794,LARGE,DEBRIS
1990-065X,23301.102,0.7130453,17.9468,68.3697,157.0298,265.5646,2.44083299,35397.7516503495,10.105513906252437,1.6927892749330662,MEDIUM,DEBRIS
1990-065Y,23181.982,0.7109652,18.0252,33.537,238.7597,33.4263,2.45967042,35126.65733484732,10.088791087635572,1.7043080211429962,MEDIUM,DEBRIS
1990-065Z,22504.314,0.7034967,17.5014,184.8046,254.8517,23.368,2.57160399,33597.708020355036,10.087693498862267,1.7558204907595114,SMALL,DEBRIS
1990-065AA,22876.091,0.7066695,17.7704,302.9821,41.7813,354.655,2.50916979,34433.700080535404,10.068716059010146,1.730540984032044,SMALL,DEBRIS
2006-015C,7089.63,0.016023,97.736,317.5908,323.9705,35.0776,14.5434499,5940.818759928481,7.6193238228887346,7.379005590694884,SMALL,DEBRIS
2006-015D,7096.529,0.016875,97.9433,12.5931,55.8174,305.889,14.52224685,5949.492588331812,7.622112201691155,7.36913490673644,SMALL,DEBRIS
2006-015E,7066.15,0.0143846,97.985,56.5165,162.2737,198.3559,14.61599738,5911.331108900349,7.6194744675730295,7.403376761779289,SMALL,DEBRIS
2006-015F,7063.445,0.0135521,97.9197,33.2703,123.6963,292.9912,14.62439392,5907.937140686648,7.614590154393256,7.410962364107284,SMALL,DEBRIS
2006-050BS,7192.057,0.0007784,98.6625,334.6175,59.4904,65.2421,14.23387247,6070.027687974642,7.450413414049951,7.438823631933358,SMALL,DEBRIS
2006-052A,26560.193,0.0080824,55.6763,281.0878,69.8633,291.0029,2.00565362,43078.2260398483,3.9053818382568712,3.8427582706407177,LARGE,PAYLOAD
2006-050BV,7183.307,0.0009138,98.6346,341.246,68.4327,291.7826,14.25988946,6058.952998363565,7.455960025918848,7.442345953914476,MEDIUM,DEBRIS
2006-053A,42757.673,0.001265,7.7338,51.2444,1.9504,15.4797,0.98193259,87989.74683180645,3.0571112597593357,3.049386540042587,LARGE,PAYLOAD
2006-053C,42422.299,0.011,8.7211,49.7554,8.5527,18.4137,0.99359971,86956.54711896,3.099197225469029,3.0317567319375565,LARGE,ROCKET BODY
2006-054A,42164.856,0.0001609,0.0412,76.1795,150.4283,134.0989,1.00271344,86166.19320471061,3.0751298676056673,3.074140450011562,LARGE,PAYLOAD
2006-054B,42165.069,0.0002604,0.0139,102.8522,126.0353,166.1441,1.00270582,86166.84801929245,3.075428022614468,3.073826756669943,LARGE,PAYLOAD
2006-054D,22360.826,0.702594,2.6796,280.7578,41.7852,354.4878,2.59639632,33276.89202702305,10.101959878252911,1.7645918401871996,LARGE,ROCKET BODY
